name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Masjid Minar,Pipe Manufacturer,,,,,,,,https://www.google.com/maps/place/Masjid+Minar/data=!4m7!3m6!1s0xa0b0ee392a3c5af3:0xaf14c6ed53420e4f!8m2!3d29.4751257!4d77.7088578!16s%2Fg%2F11l5sbk4rq!19sChIJ81o8KjnusKARTw5CU-3GFK8?authuser=0&hl=en&rclk=1,"29.4751257,77.70885779999999"
Dhari Devi temple,Hindu temple,"Dhari Devi temple, Kalyasaur, Dang Chaura, Uttarakhand 246174",,,"Kalyasaur, Dang Chaura",246174,Uttarakhand,IN,https://www.google.com/maps/place/Dhari+Devi+temple/data=!4m7!3m6!1s0x3909b0672cf98fb7:0x74f4634919ccbcab!8m2!3d30.25789!4d78.8773495!16s%2Fm%2F0lqhp_7!19sChIJt4_5LGewCTkRq7zMGUlj9HQ?authuser=0&hl=en&rclk=1,"30.25789,78.8773495"
Hari Masjid - hry msjd,Mosque,"Hari Masjid - hry msjd, S5, Rajguru Marg, Chuna Mandi, Paharganj, New Delhi, Delhi 110055","Bazar Sangatrashan, Chuna Mandi, Paharganj","S5, Rajguru Marg",New Delhi,110055,Delhi,IN,https://www.google.com/maps/place/Hari+Masjid+-+%DB%81%D8%B1%DB%8C+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390cfd420fb3ca0d:0xb47391289f663fde!8m2!3d28.6451083!4d77.2107922!16s%2Fg%2F12ml2wx8n!19sChIJDcqzD0L9DDkR3j9mnyiRc7Q?authuser=0&hl=en&rclk=1,"28.6451083,77.2107922"
Mohammadi Masjid,Mosque,"G7XX+C4X Mohammadi Masjid, Shaheen Bagh, Block E, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Shaheen Bagh, Block E, Jamia Nagar, Okhla",G7XX+C4X,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Mohammadi+Masjid/data=!4m7!3m6!1s0x390ce41acd709b67:0x8df25e5235479b77!8m2!3d28.5486052!4d77.2978715!16s%2Fg%2F11cp1893xh!19sChIJZ5twzRrkDDkRd5tHNVJe8o0?authuser=0&hl=en&rclk=1,"28.548605199999997,77.2978715"
Sabz Masjid,Mosque,"Sabz Masjid, 3571, Lalkuan Bazar Rd, Bazar Sirkiwalan, Lal Kuan Bazar, Chandni Chowk, Delhi, 110006","Bazar Sirkiwalan, Lal Kuan Bazar, Chandni Chowk","3571, Lalkuan Bazar Rd",Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Sabz+Masjid/data=!4m7!3m6!1s0x390cfd16a94877a7:0x7b35bb653cd42e20!8m2!3d28.652163!4d77.223599!16s%2Fm%2F04q247t!19sChIJp3dIqRb9DDkRIC7UPGW7NXs?authuser=0&hl=en&rclk=1,"28.652162999999998,77.223599"
"Jama Masjid, Khadda Colony jm` msjd",Mosque,"Jama Masjid, Khadda Colony jm` msjd, D-202, near by Jama Masjid Gali, Jaitpur Extension Part II, Khadda Colony, Badarpur, New Delhi, Delhi 110044","Jaitpur Extension Part II, Khadda Colony, Badarpur","D-202, near by Jama Masjid Gali",New Delhi,110044,Delhi,IN,"https://www.google.com/maps/place/Jama+Masjid,+Khadda+Colony+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390ce65a1cc2d345:0x508d72d241ba7c2f!8m2!3d28.5094725!4d77.3384064!16s%2Fg%2F11b_23cdbd!19sChIJRdPCHFrmDDkRL3y6QdJyjVA?authuser=0&hl=en&rclk=1","28.509472499999998,77.3384064"
Masjid Patherwali msjd,Mosque,"1608, Masjid Patherwali msjd, 32, Block 39E, Nai Walan, Karol Bagh, New Delhi, Delhi, 110005","Block 39E, Nai Walan, Karol Bagh","1608, 32","New Delhi, Delhi",110005,Delhi,IN,https://www.google.com/maps/place/Masjid+Patherwali+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390cfd61ca03d689:0x8ff36a5a3c66d0bd!8m2!3d28.6475823!4d77.1958499!16s%2Fg%2F12hm6x9t2!19sChIJidYDymH9DDkRvdBmPFpq848?authuser=0&hl=en&rclk=1,"28.6475823,77.1958499"
Firdosh Masjid,Mosque,"J33W+H86 Firdosh Masjid, Jagdamba Vihar, West Sagarpur, Sagar Pur, New Delhi, Delhi, 110046","Jagdamba Vihar, West Sagarpur, Sagar Pur",J33W+H86,"New Delhi, Delhi",110046,Delhi,IN,https://www.google.com/maps/place/Firdosh+Masjid/data=!4m7!3m6!1s0x390d1b513b13aa47:0x2bf4520124d621a4!8m2!3d28.6039174!4d77.0957758!16s%2Fg%2F1hhg_34rg!19sChIJR6oTO1EbDTkRpCHWJAFS9Cs?authuser=0&hl=en&rclk=1,"28.6039174,77.0957758"
Masjid Shiekh Gamo (Furqania Masjid),Mosque,"M599+P9G Masjid Shiekh Gamo (Furqania Masjid), Old Rohtak Rd, Daya Basti, New Delhi, Delhi, 110052",Daya Basti,"M599+P9G, Old Rohtak Rd","New Delhi, Delhi",110052,Delhi,IN,https://www.google.com/maps/place/Masjid+Shiekh+Gamo+%28Furqania+Masjid%29/data=!4m7!3m6!1s0x390d025e890c942b:0xc9a46bdfd2d5d0c8!8m2!3d28.6693059!4d77.1684408!16s%2Fg%2F1262jslnf!19sChIJK5QMiV4CDTkRyNDV0t9rpMk?authuser=0&hl=en&rclk=1,"28.669305899999998,77.1684408"
