name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid Dhanhara parsurampur sitamarhi Bihar,Mosque,"Jama Masjid Dhanhara parsurampur sitamarhi Bihar, WARD-15 vill- dhanhara Ps- parsurampur Ps, Parsauni - Riga Rd, Sitamarhi, Bihar 843325",,"WARD-15 vill- dhanhara Ps- parsurampur Ps, Parsauni - Riga Rd","Sitamarhi, Parsurampur",843325,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Dhanhara+parsurampur+sitamarhi+Bihar/data=!4m7!3m6!1s0x39ecefa5807fda9b:0x27d26bf896d82719!8m2!3d26.538768!4d85.4070469!16s%2Fg%2F11hj5d3srg!19sChIJm9p_gKXv7DkRGSfYlvhr0ic?authuser=0&hl=en&rclk=1,"26.538767999999997,85.4070469"
Mehsaul Chowk Jame Masjid,Mosque,"HGV2+G39 Mehsaul Chowk Jame Masjid, chowk, Mehsaul Pashchim, Bihar 843302",Sonavati Colony,"HGV2+G39, chowk","Mehsaul Pashchim, Chak Rajopatti",843302,Bihar,IN,https://www.google.com/maps/place/Mehsaul+Chowk+Jame+Masjid/data=!4m7!3m6!1s0x39ecf1228ee23381:0xd828e7fb17fd849c!8m2!3d26.5937963!4d85.5002336!16s%2Fg%2F11g9gz6j_w!19sChIJgTPijiLx7DkRnIT9F_vnKNg?authuser=0&hl=en&rclk=1,"26.593796299999998,85.5002336"
Rajopatti Masjid,Mosque,"HGM3+XJJ Rajopatti Masjid, Sharif Colony, Sitamarhi, Bihar 843301",Sharif Colony,HGM3+XJJ,Sitamarhi,843301,Bihar,IN,https://www.google.com/maps/place/Rajopatti+Masjid/data=!4m7!3m6!1s0x39ecf120a8a54163:0x78b8363fb8b4e0e8!8m2!3d26.584959!4d85.5040209!16s%2Fg%2F1tgtcxg_!19sChIJY0GlqCDx7DkR6OC0uD82uHg?authuser=0&hl=en&rclk=1,"26.584958999999998,85.5040209"
Jama Masjid Mehsaul,Mosque,"HGR7+R49 Jama Masjid Mehsaul, Rahmania Mohalla, Mehsaul Pashchim, Bihar 843314",Rahmania Mohalla,HGR7+R49,Mehsaul Pashchim,843314,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Mehsaul/data=!4m7!3m6!1s0x39ecf12edce7ee31:0xa7ca2aed0befadaa!8m2!3d26.5920258!4d85.5128628!16s%2Fg%2F11dxl16d7c!19sChIJMe7n3C7x7DkRqq3vC-0qyqc?authuser=0&hl=en&rclk=1,"26.5920258,85.5128628"
Raza Madina Masjid Bariyarpur,Mosque,"Raza Madina Masjid Bariyarpur, bariyarpur ward no.13 po bariyarpur, Sitamarhi, Bihar 843302",,bariyarpur ward no.13 po bariyarpur,"Sitamarhi, Neyamutullahpur",843302,Bihar,IN,https://www.google.com/maps/place/Raza+Madina+Masjid+Bariyarpur/data=!4m7!3m6!1s0x39ecf6eb8d540aa9:0xcdb3d61195c4c3e4!8m2!3d26.6050325!4d85.5451455!16s%2Fg%2F11bzwp6t5w!19sChIJqQpUjev27DkR5MPElRHWs80?authuser=0&hl=en&rclk=1,"26.6050325,85.54514549999999"
"Madrasa Islamia Arabia, Jama Masjid",Mosque,"Madrasa Islamia Arabia, Jama Masjid, Koat Bazar, Sitamarhi, Bihar 843302",Koat Bazar,,Sitamarhi,843302,Bihar,IN,"https://www.google.com/maps/place/Madrasa+Islamia+Arabia,+Jama+Masjid/data=!4m7!3m6!1s0x39ecf104a52a1bcb:0x8d5cb89e9d64321e!8m2!3d26.5906793!4d85.4883083!16s%2Fg%2F11f32xfd1y!19sChIJyxsqpQTx7DkRHjJknZ64XI0?authuser=0&hl=en&rclk=1","26.590679299999998,85.4883083"
jama masjid husaina chowk,Mosque,"HGV2+M6J jama masjid husaina chowk, Balnarayan Singh Nagar, Malahi, Mehsaul Gote, Sitamarhi, Bihar 843314","Balnarayan Singh Nagar, Malahi",HGV2+M6J,"Mehsaul Gote, Sitamarhi",843314,Bihar,IN,https://www.google.com/maps/place/jama+masjid+husaina+chowk/data=!4m7!3m6!1s0x39ecf6d6f8ddb9f1:0xdf9154f9503e5b82!8m2!3d26.5942156!4d85.5005181!16s%2Fg%2F11g8p8sd0f!19sChIJ8bnd-Nb27DkRgls-UPlUkd8?authuser=0&hl=en&rclk=1,"26.5942156,85.5005181"
Urdu Mohalla Mosque,Mosque,"HGP4+PW9 Urdu Mohalla Mosque, Urdu Mohalla, Sharif Colony, Chak Rajopatti, Sitamarhi, Bihar 843302","Urdu Mohalla, Sharif Colony",HGP4+PW9,"Chak Rajopatti, Sitamarhi",843302,Bihar,IN,https://www.google.com/maps/place/Urdu+Mohalla+Mosque/data=!4m7!3m6!1s0x39ecf0d87717a9db:0xa66834fd74b86604!8m2!3d26.5867922!4d85.5073517!16s%2Fg%2F11cssw_07r!19sChIJ26kXd9jw7DkRBGa4dP00aKY?authuser=0&hl=en&rclk=1,"26.586792199999998,85.5073517"
Madarsa Imdadia Ashrafia Rajopatti,Mosque,"Madarsa Imdadia Ashrafia Rajopatti, Masjid-e-abrarar, Urdu Mohalla, Sharif Colony, Sitamarhi, Bihar 843302","Urdu Mohalla, Sharif Colony",Masjid-e-abrarar,Sitamarhi,843302,Bihar,IN,https://www.google.com/maps/place/Madarsa+Imdadia+Ashrafia+Rajopatti/data=!4m7!3m6!1s0x39ecf127141e3563:0x2a105519b7e589b7!8m2!3d26.5872631!4d85.5071728!16s%2Fg%2F11gdqw86yb!19sChIJYzUeFCfx7DkRt4nltxlVECo?authuser=0&hl=en&rclk=1,"26.587263099999998,85.50717279999999"
Masjide Qasim,Mosque,"HGV8+XFH Masjide Qasim, Ward Number 1, Lakshmi Nager, Mehsaul Pashchim, Sitamarhi, Bihar 843314","Ward Number 1, Lakshmi Nager",HGV8+XFH,"Mehsaul Pashchim, Sitamarhi",843314,Bihar,IN,https://www.google.com/maps/place/Masjide+Qasim/data=!4m7!3m6!1s0x39ecf12c6aaaaaab:0xc3313ab80e3a8d21!8m2!3d26.5949458!4d85.516238!16s%2Fg%2F11fx7p4t8v!19sChIJq6qqaizx7DkRIY06Drg6McM?authuser=0&hl=en&rclk=1,"26.594945799999998,85.516238"
Haidary Jama Masjid,Mosque,"JG46+6F5 Haidary Jama Masjid, Haidary chowk, Mohanpur, Bihar 843302",,"JG46+6F5, Haidary chowk","Mohanpur, Sirauli",843302,Bihar,IN,https://www.google.com/maps/place/Haidary+Jama+Masjid/data=!4m7!3m6!1s0x39ecf137a0f9c617:0x2c3092e7fe93f5d2!8m2!3d26.6055203!4d85.5112189!16s%2Fg%2F11dzx8hpbw!19sChIJF8b5oDfx7DkR0vWT_ueSMCw?authuser=0&hl=en&rclk=1,"26.6055203,85.5112189"
"Noori Jama Masjid, Kharka",Mosque,"Noori Jama Masjid, Kharka, P.s, Vill, Kharka Road, Post, Punaura Pashchim, Bihar 843302",Post,"P.s, Vill, Kharka Road",Punaura Pashchim,843302,Bihar,IN,"https://www.google.com/maps/place/Noori+Jama+Masjid,+Kharka/data=!4m7!3m6!1s0x39ecf056bf5539e5:0xd3fadb0c729a531f!8m2!3d26.5763248!4d85.4746373!16s%2Fg%2F11hb2zw8br!19sChIJ5TlVv1bw7DkRH1Oacgzb-tM?authuser=0&hl=en&rclk=1","26.5763248,85.4746373"
Masjid E Abrar,Mosque,"HGP4+JQQ Masjid E Abrar, Tyb ngr rjwptty sytmrrhy bhr hnd nzd rdw mHlh Taiyyib nagar Rajopatti Sitamarhi, Near Urdu, mahallah, Bihar 843302","Urdu Mohalla, Sharif Colony","HGP4+JQQ, Tyb ngr rjwptty sytmrrhy bhr hnd nzd rdw mHlh Taiyyib nagar Rajopatti Sitamarhi, Near Urdu","mahallah, Sitamarhi",843302,Bihar,IN,https://www.google.com/maps/place/Masjid+E+Abrar/data=!4m7!3m6!1s0x39ecf127099d6b91:0xd794beaedf84d2d4!8m2!3d26.586587!4d85.5069901!16s%2Fg%2F11b6j5bzb7!19sChIJkWudCSfx7DkR1NKE366-lNc?authuser=0&hl=en&rclk=1,"26.586586999999998,85.5069901"
Masjid e Taiyaba Mehsaul,Mosque,"Masjid e Taiyaba Mehsaul, 843314, Noorany Colony, Rahmania Mohalla, Mehsaul Gote, Bihar 843314","Noorany Colony, Rahmania Mohalla",843314,"Mehsaul Gote, Mehsaul Pashchim",843314,Bihar,IN,https://www.google.com/maps/place/Masjid+e+Taiyaba+Mehsaul/data=!4m7!3m6!1s0x39ecf12eb3bc3ef5:0xead10d485aae403a!8m2!3d26.5910483!4d85.5140027!16s%2Fg%2F11g8tycb75!19sChIJ9T68sy7x7DkROkCuWkgN0eo?authuser=0&hl=en&rclk=1,"26.591048299999997,85.51400269999999"
Masjid-e-Alhira,Mosque,"Masjid-e-Alhira, Haashmi Muhalla, Mehsaul East, Ward No. 09, Bihar 843302",Rahmania Mohalla,"Haashmi Muhalla, Mehsaul East, Ward No. 09","Mehsaul Pashchim, Sitamarhi",843302,Bihar,IN,https://www.google.com/maps/place/Masjid-e-Alhira/data=!4m7!3m6!1s0x39ecf74e582c21b7:0x5065a0b0e747dbea!8m2!3d26.589642!4d85.5210707!16s%2Fg%2F11gnsgndpb!19sChIJtyEsWE737DkR6ttH57CgZVA?authuser=0&hl=en&rclk=1,"26.589641999999998,85.5210707"
Makki Masjid,Mosque,"JF2V+4XP Makki Masjid, Yadav Nagar, Sitamarhi, Bihar 843301",Yadav Nagar,JF2V+4XP,Sitamarhi,843301,Bihar,IN,https://www.google.com/maps/place/Makki+Masjid/data=!4m7!3m6!1s0x39ecf18b75979fab:0x62e1c0cd67a23d09!8m2!3d26.6004875!4d85.4946791!16s%2Fg%2F11t491rcs1!19sChIJq5-XdYvx7DkRCT2iZ83A4WI?authuser=0&hl=en&rclk=1,"26.6004875,85.4946791"
Noori Jama Masjid,Mosque,"Noori Jama Masjid, Dumra Rd, Talkhapur, Sitamarhi, Bihar 843301",Talkhapur,Dumra Rd,Sitamarhi,843301,Bihar,IN,https://www.google.com/maps/place/Noori+Jama+Masjid/data=!4m7!3m6!1s0x39ecf1b413669a6b:0x5a732e9ed381d82e!8m2!3d26.5700388!4d85.5121646!16s%2Fg%2F11f716mtxs!19sChIJa5pmE7Tx7DkRLtiB054uc1o?authuser=0&hl=en&rclk=1,"26.5700388,85.51216459999999"
